# check_grounded.py baseline -- values not attested on their own page
# 202 known problem(s), recorded so the gate can fail on NEW ones.
# Shrinking this file is the point. Regenerate deliberately with
# --write-baseline; nothing rewrites it on failure.
mission/adoulin/132  steps[3].grid          'G-10'                        [_mission012.json]
mission/adoulin/202  start.grid             'K-7'                         [_mission013.json]
mission/adoulin/202  steps[1].grid          'K-7'                         [_mission013.json]
mission/adoulin/212  start.grid             'G-10'                        [_mission013.json]
mission/adoulin/212  steps[1].grid          'G-10'                        [_mission013.json]
mission/adoulin/212  steps[2].grid          'G-10'                        [_mission013.json]
mission/adoulin/228  start.grid             'E-8'                         [_mission013.json]
mission/adoulin/228  steps[1].grid          'E-8'                         [_mission013.json]
mission/adoulin/250  start.grid             'E-8'                         [_mission013.json]
mission/adoulin/250  start.zone             'Western Adoulin'             [_mission013.json]
mission/adoulin/250  steps[1].grid          'E-8'                         [_mission013.json]
mission/adoulin/250  steps[1].zone          'Western Adoulin'             [_mission013.json]
mission/adoulin/252  start.grid             'G-7'                         [_mission013.json]
mission/adoulin/252  steps[1].grid          'G-7'                         [_mission013.json]
mission/adoulin/258  start.grid             'G-7'                         [_mission013.json]
mission/adoulin/258  start.zone             'Western Adoulin'             [_mission013.json]
mission/adoulin/258  steps[1].grid          'G-7'                         [_mission013.json]
mission/adoulin/258  steps[1].zone          'Western Adoulin'             [_mission013.json]
mission/adoulin/260  start.grid             'E-8'                         [_mission013.json]
mission/adoulin/260  start.zone             'Western Adoulin'             [_mission013.json]
mission/adoulin/260  steps[1].grid          'E-8'                         [_mission013.json]
mission/adoulin/260  steps[1].zone          'Western Adoulin'             [_mission013.json]
mission/adoulin/262  start.zone             'Western Adoulin'             [_mission013.json]
mission/adoulin/262  steps[1].zone          'Western Adoulin'             [_mission013.json]
mission/adoulin/282  start.grid             'K-9'                         [_mission013.json]
mission/adoulin/282  steps[1].grid          'K-9'                         [_mission013.json]
mission/adoulin/300  start.grid             'K-9'                         [_mission013.json]
mission/adoulin/300  start.zone             'Eastern Adoulin'             [_mission013.json]
mission/adoulin/300  steps[1].grid          'K-9'                         [_mission013.json]
mission/adoulin/300  steps[1].zone          'Eastern Adoulin'             [_mission013.json]
mission/adoulin/306  start.grid             'K-9'                         [_mission013.json]
mission/adoulin/306  steps[1].grid          'K-9'                         [_mission013.json]
mission/adoulin/308  start.grid             'K-9'                         [_mission013.json]
mission/adoulin/308  start.zone             'Eastern Adoulin'             [_mission013.json]
mission/adoulin/308  steps[1].grid          'K-9'                         [_mission013.json]
mission/adoulin/308  steps[1].zone          'Eastern Adoulin'             [_mission013.json]
mission/bastok/1  start.grid             'L-7'                         [_mission001.json]
mission/bastok/1  start.npc              'Argus'                       [_mission001.json]
mission/bastok/1  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/1  steps[1].grid          'L-7'                         [_mission001.json]
mission/bastok/1  steps[1].target        'Argus'                       [_mission001.json]
mission/bastok/1  steps[1].zone          'Port Bastok'                 [_mission001.json]
mission/bastok/10  start.grid             'L-7'                         [_mission001.json]
mission/bastok/10  start.npc              'Argus'                       [_mission001.json]
mission/bastok/10  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/11  start.grid             'L-7'                         [_mission001.json]
mission/bastok/11  start.npc              'Argus'                       [_mission001.json]
mission/bastok/11  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/11  steps[6].grid          'L-7'                         [_mission001.json]
mission/bastok/11  steps[6].target        'Argus'                       [_mission001.json]
mission/bastok/11  steps[6].zone          'Port Bastok'                 [_mission001.json]
mission/bastok/12  start.npc              'Argus'                       [_mission001.json]
mission/bastok/12  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/14  start.grid             'L-7'                         [_mission001.json]
mission/bastok/14  start.npc              'Argus'                       [_mission001.json]
mission/bastok/14  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/14  steps[1].grid          'L-7'                         [_mission001.json]
mission/bastok/14  steps[1].target        'Argus'                       [_mission001.json]
mission/bastok/14  steps[1].zone          'Port Bastok'                 [_mission001.json]
mission/bastok/14  steps[2].grid          'J-8'                         [_mission001.json]
mission/bastok/14  steps[7].grid          'J-8'                         [_mission001.json]
mission/bastok/15  start.npc              'Argus'                       [_mission001.json]
mission/bastok/15  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/15  steps[1].target        'Argus'                       [_mission001.json]
mission/bastok/15  steps[1].zone          'Port Bastok'                 [_mission001.json]
mission/bastok/16  start.grid             'L-7'                         [_mission001.json]
mission/bastok/16  start.npc              'Argus'                       [_mission001.json]
mission/bastok/16  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/17  start.grid             'L-7'                         [_mission001.json]
mission/bastok/17  start.npc              'Argus'                       [_mission001.json]
mission/bastok/17  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/17  steps[1].grid          'J-8'                         [_mission001.json]
mission/bastok/17  steps[1].zone          'Metalworks'                  [_mission001.json]
mission/bastok/17  steps[8].grid          'J-8'                         [_mission001.json]
mission/bastok/17  steps[8].zone          'Metalworks'                  [_mission001.json]
mission/bastok/18  start.npc              'Argus'                       [_mission001.json]
mission/bastok/18  start.zone             'Port Bastok'                 [_mission001.json]
